Date,Daily Fees,Cumulative Fees
2025-04-07,4.905247689999997,4.905247689999997
2025-04-08,0,4.905247689999997
2025-04-09,0,4.905247689999997
2025-04-10,0,4.905247689999997
2025-04-11,0.00144301,4.906690699999997
2025-04-12,0,4.906690699999997
2025-04-13,0,4.906690699999997
2025-04-14,0,4.906690699999997
2025-04-15,0,4.906690699999997
2025-04-16,0,4.906690699999997
2025-04-17,0,4.906690699999997
2025-04-18,0,4.906690699999997
2025-04-19,0,4.906690699999997
2025-04-20,0,4.906690699999997
2025-04-21,0,4.906690699999997
2025-04-22,0,4.906690699999997
2025-04-23,0,4.906690699999997
2025-04-24,0.5206331000000001,5.427323799999997
2025-04-25,0.5144991199999999,5.941822919999997
2025-04-26,0,5.941822919999997
2025-04-27,0,5.941822919999997
2025-04-28,0,5.941822919999997
2025-04-29,0,5.941822919999997
2025-04-30,0,5.941822919999997
2025-05-01,0,5.941822919999997
2025-05-02,0,5.941822919999997
2025-05-03,0,5.941822919999997
2025-05-04,0,5.941822919999997
2025-05-05,0,5.941822919999997
2025-05-06,0,5.941822919999997
2025-05-07,0,5.941822919999997
2025-05-08,0,5.941822919999997
2025-05-09,0,5.941822919999997
2025-05-10,0,5.941822919999997
2025-05-11,0,5.941822919999997
2025-05-12,0,5.941822919999997
2025-05-13,0,5.941822919999997
2025-05-14,0,5.941822919999997
2025-05-15,0,5.941822919999997
2025-05-16,0,5.941822919999997
2025-05-17,0,5.941822919999997
2025-05-18,0,5.941822919999997
2025-05-19,0,5.941822919999997
2025-05-20,0,5.941822919999997
2025-05-21,0,5.941822919999997
2025-05-22,0,5.941822919999997
2025-05-23,0,5.941822919999997
2025-05-24,0,5.941822919999997
2025-05-25,0,5.941822919999997
2025-05-26,0.6421646400000001,6.583987559999997
2025-05-27,0.00983025,6.593817809999997
2025-05-28,0,6.593817809999997
2025-05-29,0.19172286000000005,6.785540669999998
2025-05-30,0.08661011,6.8721507799999975
2025-05-31,0,6.8721507799999975
2025-06-01,0,6.8721507799999975
2025-06-02,0,6.8721507799999975
2025-06-03,0,6.8721507799999975
2025-06-04,0,6.8721507799999975
2025-06-05,0.23007496000000002,7.102225739999997
2025-06-06,0,7.102225739999997
2025-06-07,0,7.102225739999997
2025-06-08,0,7.102225739999997
2025-06-09,0,7.102225739999997
2025-06-10,0.10073135000000001,7.202957089999997
2025-06-11,0,7.202957089999997
2025-06-12,0.00100071,7.203957799999997
2025-06-13,0,7.203957799999997
2025-06-14,0,7.203957799999997
2025-06-15,0,7.203957799999997
2025-06-16,0.00972876,7.213686559999997
2025-06-17,0,7.213686559999997
2025-06-18,0.0002,7.213886559999997
2025-06-19,0,7.213886559999997
2025-06-20,0,7.213886559999997
2025-06-21,0,7.213886559999997
2025-06-22,0,7.213886559999997
2025-06-23,0,7.213886559999997
2025-06-24,0.00300073,7.216887289999997
2025-06-25,0,7.216887289999997
2025-06-26,0.21744879999999994,7.434336089999997
2025-06-27,1.3250041,8.759340189999996
2025-06-28,0,8.759340189999996
2025-06-29,0,8.759340189999996
2025-06-30,0.0001,8.759440189999996
2025-07-01,0,8.759440189999996
2025-07-02,0,8.759440189999996
2025-07-03,0,8.759440189999996
2025-07-04,0.00966576,8.769105949999997
2025-07-05,0,8.769105949999997
2025-07-06,0,8.769105949999997
2025-07-07,0,8.769105949999997
2025-07-08,0,8.769105949999997
2025-07-09,0.11473836999999999,8.883844319999996
2025-07-10,0.6559925099999999,9.539836829999995
2025-07-11,0.05062017,9.590456999999995
2025-07-12,0,9.590456999999995
2025-07-13,0,9.590456999999995
2025-07-14,0.0416917,9.632148699999995
2025-07-15,0,9.632148699999995
2025-07-16,0.04770588,9.679854579999995
2025-07-17,0,9.679854579999995
2025-07-18,0,9.679854579999995
2025-07-19,0,9.679854579999995
2025-07-20,0,9.679854579999995
2025-07-21,1.3589319000000002,11.038786479999995
2025-07-22,0.0001,11.038886479999995
2025-07-23,0,11.038886479999995
2025-07-24,0,11.038886479999995
2025-07-25,0,11.038886479999995
2025-07-26,0,11.038886479999995
2025-07-27,0,11.038886479999995
2025-07-28,0,11.038886479999995
2025-07-29,0,11.038886479999995
2025-07-30,0,11.038886479999995
2025-07-31,0.0029998000000000004,11.041886279999995
2025-08-01,0,11.041886279999995
2025-08-02,0,11.041886279999995
2025-08-03,0,11.041886279999995
2025-08-04,0.00149985,11.043386129999995
2025-08-05,0,11.043386129999995
2025-08-06,0,11.043386129999995
2025-08-07,0,11.043386129999995
2025-08-08,0,11.043386129999995
2025-08-09,0,11.043386129999995
2025-08-10,0.00597779,11.049363919999994
2025-08-11,0,11.049363919999994
2025-08-12,0,11.049363919999994
2025-08-13,0.0014996699999999998,11.050863589999993
2025-08-14,0.00199977,11.052863359999993
2025-08-15,0,11.052863359999993
2025-08-16,0,11.052863359999993
2025-08-17,0,11.052863359999993
2025-08-18,0.00570724,11.058570599999992
2025-08-19,0,11.058570599999992
2025-08-20,0.01192386,11.070494459999992
2025-08-21,0.08158500999999999,11.152079469999991
2025-08-22,0,11.152079469999991
2025-08-23,0,11.152079469999991
2025-08-24,0,11.152079469999991
2025-08-25,0,11.152079469999991
2025-08-26,0.29828878000000003,11.450368249999991
2025-08-27,0.57647749,12.026845739999992
2025-08-28,0.18080970999999996,12.207655449999992
2025-08-29,0.001,12.208655449999991
2025-08-30,0,12.208655449999991
2025-08-31,0,12.208655449999991
2025-09-01,0.00150052,12.210155969999992
2025-09-02,0,12.210155969999992
2025-09-03,0.00099999,12.211155959999992
2025-09-04,0,12.211155959999992
2025-09-05,0.00065065,12.211806609999993
2025-09-06,0,12.211806609999993
2025-09-07,0,12.211806609999993
2025-09-08,0,12.211806609999993
2025-09-09,0.00581855,12.217625159999994
2025-09-10,0.01171723,12.229342389999994
2025-09-11,0.00657616,12.235918549999994
2025-09-12,0.006591479999999999,12.242510029999995
2025-09-13,0,12.242510029999995
2025-09-14,0,12.242510029999995
2025-09-15,0,12.242510029999995
2025-09-16,0,12.242510029999995
2025-09-17,0,12.242510029999995
2025-09-18,-0.02083579,12.221674239999995
2025-09-19,-0.041849060000000014,12.179825179999995
2025-09-20,0,12.179825179999995
2025-09-21,-0.00228394,12.177541239999995
2025-09-22,-0.026136120000000002,12.151405119999994
2025-09-23,-0.02477965,12.126625469999995
2025-09-24,-0.035005619999999994,12.091619849999995
2025-09-25,-0.033203790000000045,12.058416059999995
2025-09-26,0.0007495400000000001,12.059165599999995
2025-09-27,0,12.059165599999995
2025-09-28,0,12.059165599999995
2025-09-29,-0.00024999,12.058915609999994
2025-09-30,-0.00240229,12.056513319999995
2025-10-01,-0.019504399999999998,12.037008919999995
2025-10-02,-0.006825760000000002,12.030183159999995
2025-10-03,-0.013978699999999998,12.016204459999996
2025-10-04,0,12.016204459999996
2025-10-05,0.0017575199999999994,12.017961979999995
2025-10-06,0,12.017961979999995
2025-10-07,0,12.017961979999995
2025-10-08,0,12.017961979999995
2025-10-09,0.00199522,12.019957199999995
2025-10-10,0,12.019957199999995
2025-10-11,0.00064516,12.020602359999994
2025-10-12,-0.02205463,11.998547729999995
2025-10-13,0,11.998547729999995
2025-10-14,-0.019213679999999997,11.979334049999995
2025-10-15,-0.02533178,11.954002269999995
2025-10-16,0,11.954002269999995
2025-10-17,0,11.954002269999995
2025-10-18,0,11.954002269999995
2025-10-19,-0.007651289999999999,11.946350979999995
2025-10-20,-0.054799930000000004,11.891551049999995
2025-10-21,-0.02340316999999999,11.868147879999995